Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
P. de la Cruz,Atlético Grau,RAMF,RW,RCMF,25,425000,25,2184,Peru,Peru,derecho,165,60,25.64,3.71,0.12,0.13,0.0,1.32,46.88,9.375,40.61,2.51,1.28,28.68,0.12,3,0.08,0.45,1.11,4.04,57.14
A. Vasquez,UTC Cajamarca,RW,RCMF,LCMF,22,425000,21,1240,Peru,Peru,derecho,170,64,26.09,2.25,0.15,0.12,0.0,1.67,21.74,8.696,37.61,1.23,1.52,46.31,0.16,2,0.29,0.65,1.31,2.03,53.57
V. Perlaza,Unión Comercio,CF,RAMF,LAMF,30,400000,26,2103,Colombia,Colombia,derecho,186,74,43.56,3.08,0.04,0.17,0.04,2.31,18.52,1.852,30.91,2.27,1.75,17.33,0.08,2,0.17,0.26,0.6,4.37,47.06
J. Romagnoli,Cienciano,RW,RAMF,RWB,28,400000,34,2443,Argentina,"Argentina, Italy",derecho,183,73,39.53,2.84,0.07,0.06,0.04,1.29,28.57,5.714,40.88,1.58,0.88,25.38,0.15,5,0.11,0.48,0.99,2.17,54.24
C. Ross,Copiapó,RAMF,RW,,34,400000,26,1703,Chile,Chile,derecho,175,71,21.43,3.86,0.11,0.08,0.0,1.0,42.11,10.526,25.64,2.54,0.32,34.77,0.23,4,0.11,0.9,0.9,1.64,38.71
M. da Luz,ADT,CF,RAMF,RW,30,400000,25,1517,Uruguay,Uruguay,derecho,174,70,28.57,2.79,0.24,0.42,0.06,2.79,36.17,8.511,33.59,4.09,1.48,15.72,0.05,1,0.0,0.18,0.71,3.09,36.54
L. Cano,Deportivo Táchira,CF,,,30,400000,41,2849,Argentina,Argentina,derecho,185,76,40.63,2.43,0.32,0.49,0.09,3.16,40.0,10.0,31.64,3.38,1.61,19.65,0.07,3,0.16,0.28,0.76,2.08,42.42
Y. Gamero,Melgar,RWB,RCMF,RW,23,400000,8,566,Peru,Peru,derecho,175,66,31.58,2.23,0.16,0.14,0.0,0.95,33.33,16.667,43.24,1.75,1.59,35.46,0.07,0,0.0,0.48,0.64,3.02,36.84
A. Hohberg,Sport Boys,AMF,LW,LCMF,33,400000,21,1792,Peru,"Peru, Uruguay",derecho,168,72,20.0,2.26,0.5,0.47,0.1,2.76,38.18,18.182,39.39,2.36,1.05,26.37,0.19,5,0.3,0.1,0.8,1.76,45.71
E. Ramírez Manrique,UTC Cajamarca,LW,AMF,LCMF,27,400000,26,2089,Peru,Peru,derecho,175,77,32.0,2.67,0.26,0.19,0.0,2.97,33.33,8.696,44.29,2.5,0.99,26.97,0.11,1,0.34,0.26,0.73,2.41,53.57
B. Palacios,UTC Cajamarca,CF,LW,RW,27,400000,18,951,Mexico,"Mexico, Peru",izquierdo,176,58,41.46,2.65,0.0,0.12,0.0,1.7,27.78,0.0,35.0,1.23,1.89,22.43,0.12,0,0.09,0.57,0.76,3.5,45.95
A. Quiñonez,Libertad,CF,LW,,28,400000,25,1380,Ecuador,Ecuador,derecho,182,82,36.36,1.37,0.13,0.16,0.0,1.43,40.91,9.091,26.14,2.87,0.46,16.89,0.03,0,0.0,0.39,0.39,1.3,25.0
C. Bordacahar,Melgar,RW,RAMF,CF,33,400000,37,3177,Argentina,Argentina,derecho,179,82,46.63,3.25,0.2,0.29,0.06,2.03,38.57,10.0,31.92,3.89,0.61,33.83,0.26,6,0.23,0.99,1.71,2.03,54.29
R. Huaccha,Sport Huancayo,CF,LAMF,AMF,31,400000,25,1222,Peru,Peru,derecho,175,71,27.03,1.91,0.22,0.2,0.0,1.69,60.87,8.696,31.46,3.61,0.88,19.89,0.04,0,0.0,0.22,0.59,1.47,50.0
L. Urruti,Sport Boys,CF,LAMF,AMF,32,400000,30,2524,Uruguay,"Uruguay, Peru",derecho,172,64,34.88,2.71,0.25,0.23,0.04,2.6,35.62,9.589,38.2,2.28,2.03,20.72,0.17,5,0.18,0.36,0.93,2.28,51.56
F. Pacheco,Sporting Cristal,LWF,LAMF,RWF,26,400000,20,1116,Peru,Peru,derecho,175,74,31.82,3.79,0.24,0.3,0.0,1.61,50.0,15.0,40.32,3.95,1.85,22.58,0.15,3,0.08,0.56,1.21,4.35,44.44
J. Canela,Alianza Universidad,RW,LW,RAMF,27,400000,21,1686,Peru,Peru,derecho,163,60,38.46,3.1,0.16,0.19,0.0,1.71,28.13,9.375,48.52,2.19,2.19,21.09,0.06,1,0.11,0.32,0.48,3.04,56.14
A. Rodríguez,Amazonas,CF,RW,RAMF,30,400000,30,1194,Peru,Peru,derecho,184,79,42.37,1.51,0.0,0.12,0.0,0.68,0.0,0.0,24.2,2.11,1.51,22.76,0.04,2,0.15,0.23,0.68,1.43,57.89
N. Albarracín,Foshan Nanshi,CF,RW,LW,32,400000,26,2125,Uruguay,"Uruguay, Italy",izquierdo,180,72,41.18,3.01,0.38,0.29,0.0,1.86,45.45,20.455,47.09,2.03,2.03,33.16,0.26,7,0.34,0.8,1.27,1.91,60.0
L. Ramos,América de Cali,CF,,,25,400000,46,2601,Peru,Peru,derecho,183,76,33.16,1.87,0.42,0.41,0.1,2.04,55.93,20.339,22.49,3.08,1.14,17.13,0.03,3,0.14,0.21,0.52,0.8,56.52
A. Succar,,CF,,,29,375000,19,1197,Peru,"Peru, Lebanon",derecho,180,78,36.99,2.03,0.23,0.16,0.0,1.13,40.0,20.0,27.33,1.8,1.05,18.35,0.03,0,0.0,0.23,0.9,2.78,48.65
Ó. Pinto,ADT,RAMF,RW,LW,23,375000,27,1238,Peru,Peru,derecho,179,74,54.17,3.85,0.07,0.13,0.0,1.6,22.73,4.545,39.29,1.82,1.38,18.83,0.09,1,0.07,0.44,0.44,4.65,53.13
F. Oncoy,UTC Cajamarca,RCMF,RW,CF,24,375000,30,2099,Peru,Peru,derecho,180,72,48.78,0.51,0.04,0.11,0.04,0.47,36.36,9.091,29.17,1.59,0.39,35.55,0.02,0,0.04,0.17,0.77,0.86,30.0
Y. Celi,Deportivo Garcilaso,RW,RCMF,LCMF,23,375000,20,852,Peru,Peru,izquierdo,177,78,66.67,2.96,0.0,0.05,0.0,1.37,23.08,0.0,44.71,0.85,1.58,26.83,0.11,0,0.32,0.21,0.53,3.27,58.06
P. Lavandeira,Alianza Lima,RCMF,LCMF,CF,35,350000,23,1495,Uruguay,"Uruguay, Peru",derecho,173,70,32.56,2.59,0.12,0.25,0.0,1.93,34.38,6.25,36.64,2.29,1.38,30.52,0.13,4,0.36,0.66,1.32,1.87,48.39
Arley Rodríguez,Real Cartagena,RAMF,LW,LAMF,32,350000,32,2103,Colombia,Colombia,derecho,180,74,50.71,1.54,0.04,0.1,0.04,0.98,21.74,4.348,34.04,2.01,1.5,21.7,0.09,2,0.17,0.17,0.68,2.01,44.68
G. Costa,Universitario,CF,RCMF,LCMF,35,350000,29,923,Uruguay,"Uruguay, Peru",derecho,171,70,30.0,2.83,0.1,0.15,0.0,2.15,45.45,4.545,36.84,2.63,1.76,34.91,0.15,2,0.1,0.49,0.88,3.61,40.54
A. González,Cienciano,CF,AMF,LCMF,28,350000,27,1902,Uruguay,Uruguay,izquierdo,174,65,37.5,2.27,0.0,0.06,0.0,1.66,22.86,0.0,46.45,0.9,2.7,34.59,0.1,2,0.28,0.09,0.95,2.22,65.96
J. Quintero,UTC Cajamarca,CF,,,31,350000,32,3047,Colombia,Colombia,derecho,188,80,29.41,2.63,0.35,0.38,0.03,2.27,35.06,15.584,28.57,2.95,1.45,13.23,0.05,1,0.12,0.18,0.65,3.04,49.51
G. Balanta,UTC Cajamarca,RW,LAMF,,32,350000,22,1029,Colombia,Colombia,derecho,174,72,27.59,2.62,0.0,0.05,0.0,1.57,27.78,0.0,35.04,0.79,1.75,31.4,0.09,0,0.17,0.09,0.7,3.32,52.63
B. Cuesta,Melgar,CF,,,36,350000,13,1093,Argentina,"Argentina, Peru",derecho,181,76,33.33,3.63,0.25,0.51,0.0,4.72,38.46,5.769,38.0,5.26,1.0,19.14,0.2,1,0.36,0.45,1.36,1.81,50.0
A. Yovera,Ayacucho,LW,LB,LCB,24,350000,17,985,Peru,Peru,izquierdo,182,73,44.83,1.92,0.0,0.08,0.0,0.82,33.33,0.0,45.61,1.28,1.19,19.64,0.04,1,0.0,0.09,0.37,2.38,65.38
F. Callejo,Cusco,CF,,,33,350000,34,1936,Argentina,Argentina,derecho,170,67,44.66,1.86,0.88,0.54,0.28,3.11,44.78,28.358,28.33,4.6,0.79,14.04,0.05,2,0.05,0.19,0.46,0.51,45.45
A. Ramírez,César Vallejo,RW,AMF,RAMF,33,325000,20,972,Peru,Peru,derecho,174,67,38.46,3.8,0.09,0.1,0.0,1.67,38.89,5.556,46.99,1.94,0.56,27.31,0.16,0,0.46,0.37,0.56,3.15,64.71
K. Ruíz,,LAMF,LW,RAMF,30,325000,17,739,Peru,Peru,derecho,180,72,57.14,3.04,0.0,0.11,0.0,1.46,41.67,0.0,35.79,1.58,0.97,22.04,0.09,0,0.0,0.37,0.24,3.17,57.69
R. Gómez,Alianza Universidad,LW,LAMF,,31,325000,15,629,Peru,Peru,derecho,170,68,20.0,1.86,0.0,0.06,0.0,1.43,20.0,0.0,55.56,0.86,2.58,37.49,0.03,0,0.14,0.14,0.43,1.72,66.67
C. Benavente,AS FC Buzău,LAMF,LW,,31,325000,17,895,Spain,"Spain, Peru",ambidiestro,172,73,38.89,2.41,0.0,0.15,0.0,1.51,20.0,0.0,33.9,1.21,0.6,33.99,0.12,2,0.0,0.5,0.4,2.31,52.17
R. Castro,Alianza Atlético,LCMF,LW,,32,325000,33,2331,Argentina,"Argentina, Italy",derecho,169,69,38.6,1.54,0.0,0.05,0.0,0.93,41.67,0.0,54.19,1.24,2.16,20.66,0.11,2,0.08,0.12,0.58,1.43,70.27
L. da Silva,Cienciano,CF,LW,,28,325000,30,1750,Peru,"Peru, Brazil",derecho,179,69,46.43,2.93,0.21,0.29,0.15,2.01,35.9,10.256,39.69,3.09,1.9,22.27,0.05,0,0.26,0.15,0.57,3.34,58.46
R. Fernández,Juan Pablo II College,RAMF,CF,RW,27,325000,19,1079,Peru,Peru,derecho,177,70,23.81,2.67,0.0,0.16,0.0,1.5,11.11,0.0,35.65,3.17,1.25,24.61,0.11,2,0.25,0.42,1.25,3.84,47.83
J. Rostaing,Atlético Grau,RB,RW,RCB,30,325000,36,3124,Peru,Peru,derecho,177,78,51.08,1.15,0.03,0.03,0.0,0.63,22.73,4.545,38.53,0.58,0.75,40.19,0.09,2,0.03,0.17,0.37,0.6,66.67
J. Manzaneda,Los Chankas,LW,CF,LAMF,30,325000,32,3036,Peru,Peru,derecho,177,72,33.33,2.91,0.27,0.21,0.03,2.16,34.25,12.329,39.14,2.55,1.45,27.75,0.06,5,0.09,0.36,0.62,3.17,55.14
L. Colitto,Cusco,LAMF,LW,LWF,31,325000,30,2757,Argentina,"Argentina, Italy",izquierdo,170,68,18.18,4.6,0.13,0.19,0.0,1.6,30.61,8.163,42.56,2.38,0.36,35.91,0.31,9,0.33,1.14,1.04,4.28,50.38
P. Vivanco,Comerciantes Unidos,AMF,CF,RWF,25,325000,17,690,Peru,Peru,derecho,180,70,22.22,2.09,0.13,0.14,0.0,1.57,33.33,8.333,37.04,2.35,0.39,35.35,0.17,0,0.52,1.04,1.57,1.43,54.55
M. Sen,Comerciantes Unidos,CF,,,33,325000,31,2878,Argentina,Argentina,derecho,184,0,46.06,1.5,0.44,0.4,0.16,2.25,38.89,19.444,27.71,2.6,1.16,11.16,0.03,1,0.06,0.16,0.25,0.75,62.5
Ó. Barreto,Unión Magdalena,RCMF,CF,RW,32,300000,17,786,Colombia,Colombia,derecho,175,68,16.67,2.29,0.0,0.12,0.0,1.83,25.0,0.0,55.56,1.15,2.4,39.85,0.09,0,0.23,0.34,1.26,1.72,66.67
F. Medina,Ayacucho,RB,RW,,25,300000,16,880,Peru,Peru,derecho,179,73,53.33,2.97,0.0,0.01,0.0,0.2,50.0,0.0,32.61,0.41,0.61,40.6,0.09,0,0.0,0.41,0.31,2.05,50.0
L. Nequecaur,Sport Boys,CF,,,32,300000,20,1614,Argentina,"Argentina, Italy",derecho,193,90,50.98,1.73,0.56,0.39,0.22,1.62,55.17,34.483,31.58,2.23,1.73,15.45,0.09,2,0.17,0.45,0.89,1.06,52.63
J. Rojas,ADT,CF,LW,AMF,36,300000,24,1852,Ecuador,"Ecuador, Mexico",derecho,174,67,27.5,4.42,0.19,0.23,0.1,1.7,37.14,11.429,38.43,3.6,1.75,28.04,0.14,2,0.24,0.39,1.07,5.39,52.25
Y. Oliva,Alianza Universidad,LCMF,RCMF,CF,29,300000,15,590,Peru,Peru,derecho,172,70,50.0,2.44,0.0,0.18,0.0,1.83,8.33,0.0,55.56,0.46,1.37,42.71,0.09,0,0.15,0.61,0.92,1.98,69.23
J. Cortés,Hapoel Hadera,CF,LWF,,30,300000,29,1946,Colombia,Colombia,derecho,179,75,35.51,2.91,0.37,0.36,0.14,2.73,37.29,13.559,33.47,3.84,1.43,13.55,0.07,2,0.0,0.14,0.74,3.38,47.95
D. Churín,Universitario,CF,,,35,300000,38,1452,Argentina,Argentina,derecho,185,85,46.15,1.67,0.31,0.27,0.12,1.3,47.62,23.81,28.66,3.47,1.98,23.31,0.08,0,0.25,0.37,0.99,0.68,72.73
O. Noronha,Cienciano,CF,,,33,300000,34,1567,Peru,Peru,izquierdo,181,64,40.85,1.61,0.29,0.29,0.06,1.9,45.45,15.152,29.17,3.96,0.57,13.67,0.07,1,0.06,0.34,0.75,1.21,47.62
C. Garcés,Cienciano,CF,,,35,300000,34,3158,Ecuador,Ecuador,derecho,186,78,31.5,1.05,0.43,0.36,0.11,1.97,42.03,21.739,31.86,3.05,1.14,11.6,0.04,3,0.17,0.23,0.6,0.46,31.25
R. Torres,Binacional,AMF,RW,RCMF,34,300000,23,1022,Colombia,"Colombia, United States",derecho,169,67,18.18,3.61,0.26,0.18,0.0,1.14,46.15,23.077,46.27,1.76,0.7,41.04,0.2,3,0.62,0.88,2.64,2.73,58.06
C. Tizón,Juan Pablo II College,LW,LAMF,LWF,29,300000,35,2840,Uruguay,Uruguay,izquierdo,175,70,29.31,2.73,0.38,0.37,0.0,2.76,42.53,13.793,31.02,2.63,1.3,21.93,0.19,5,0.1,0.44,0.6,1.55,34.69
E. Villar,Juan Pablo II College,CF,,,25,300000,41,2899,Uruguay,Uruguay,derecho,176,76,25.0,3.41,0.5,0.42,0.06,2.27,47.95,21.918,34.72,4.63,1.52,16.8,0.22,6,0.16,0.68,1.12,3.23,54.81
J. Vidales,Melgar,CF,LW,,33,300000,31,2351,Peru,Peru,derecho,180,74,43.48,4.28,0.54,0.4,0.12,2.32,55.17,24.138,33.46,3.64,0.56,25.4,0.11,2,0.24,0.56,0.6,4.16,49.04
T. Sandoval,Atlético Grau,CF,,,26,300000,32,2097,Argentina,Argentina,derecho,185,71,39.35,1.5,0.26,0.34,0.04,1.93,31.11,13.333,27.56,3.48,1.37,13.73,0.17,5,0.09,0.52,0.9,0.94,54.55
G. Larios,Alianza Atlético,RW,CF,LAMF,23,300000,25,1191,Chile,"Chile, Peru",derecho,178,73,27.72,1.1,0.23,0.2,0.0,1.41,44.44,16.667,26.0,2.43,1.02,14.59,0.03,1,0.0,0.31,0.86,0.94,41.67
M. de Jesús,Sport Huancayo,CF,,,33,300000,30,2069,Ecuador,Ecuador,derecho,188,81,35.59,2.44,0.43,0.43,0.0,2.57,47.46,16.949,27.71,3.78,1.0,13.44,0.03,1,0.04,0.13,0.7,2.22,50.98
I. Camargo,Los Chankas,CF,,,25,300000,25,1092,Colombia,Colombia,derecho,176,69,19.35,1.81,0.49,0.45,0.0,2.31,46.43,21.429,25.0,2.88,0.49,12.69,0.02,0,0.0,0.25,0.41,1.57,42.11
O. Takeuchi,Los Chankas,RB,LW,,30,300000,29,1649,Peru,"Peru, Japan",derecho,181,78,57.5,2.18,0.22,0.07,0.05,1.26,39.13,17.391,42.42,1.75,0.76,21.56,0.03,0,0.05,0.11,0.38,2.02,62.16
G. Ritacco,Deportivo Pasto,AMF,LW,RW,32,300000,22,1161,Argentina,Argentina,derecho,175,0,9.09,2.48,0.08,0.07,0.0,1.32,47.06,5.882,32.31,1.01,1.55,29.46,0.16,5,0.16,0.16,0.31,2.48,50.0
I. Ávila,Sporting Cristal,CF,,,35,300000,34,1653,Peru,Peru,derecho,170,70,37.36,1.42,0.44,0.31,0.11,1.74,43.75,25.0,23.77,3.43,1.25,21.78,0.1,2,0.27,0.22,1.14,0.71,46.15
P. da Silva,Cusco,LAMF,RAMF,LW,27,300000,27,1493,United States,"United States, Brazil",izquierdo,175,66,46.51,4.46,0.06,0.15,0.06,1.51,32.0,4.0,42.03,2.11,2.05,26.89,0.09,0,0.06,0.24,0.6,4.94,53.66
J. Pereyra Diaz,Bengaluru,CF,LWF,,34,375000,18,1166,Argentina,Argentina,derecho,179,71,27.03,3.09,0.23,0.18,0.0,1.78,30.43,13.043,34.9,4.48,1.16,19.68,0.21,3,0.23,0.69,1.62,3.01,56.41
A. Vuletich,UTA Arad,CF,,,33,200000,13,500,Argentina,"Argentina, Croatia",derecho,185,80,55.38,1.26,0.36,0.28,0.18,1.8,50.0,20.0,21.21,2.88,1.08,18.54,0.0,0,0.0,0.0,0.72,0.72,50.0
J. Lescano,Bashundhara Kings,LW,LWF,LCMF,32,200000,12,861,Argentina,Argentina,derecho,188,78,41.67,1.15,0.21,0.41,0.0,1.88,27.78,11.111,33.72,1.57,2.51,20.28,0.04,0,0.31,0.31,0.63,1.57,33.33
E. Ávila,Real Betis,CF,RAMF,RW,31,3000000,32,1613,Argentina,"Argentina, Spain",izquierdo,172,81,34.0,3.57,0.22,0.26,0.0,1.9,58.82,11.765,45.03,3.24,1.95,29.8,0.28,1,0.11,0.61,0.95,2.68,56.25
F. Cervi,Celta de Vigo,LWB,LB,RW,30,1500000,11,598,Argentina,"Argentina, Italy",izquierdo,166,62,23.08,1.05,0.0,0.0,0.0,0.15,0.0,0.0,23.08,0.3,0.3,40.48,0.05,0,0.0,0.3,1.05,0.75,60.0
N. Stefanelli,,CF,LW,,30,1000000,35,2186,Argentina,"Argentina, Italy",derecho,166,71,21.74,3.5,0.12,0.2,0.0,2.47,26.67,5.0,44.84,3.83,2.35,23.1,0.13,2,0.45,0.49,1.44,4.49,49.54
J. Kaprof,Quilmes,CF,AMF,LCMF,30,300000,16,666,Argentina,"Argentina, Italy",derecho,169,71,27.27,1.62,0.14,0.4,0.0,1.76,23.08,7.692,31.15,3.65,1.35,27.43,0.15,2,0.14,0.68,1.22,1.22,55.56
E. Vidal,Punjab,RAMF,AMF,RW,29,250000,24,1934,Argentina,Argentina,izquierdo,168,68,26.92,3.21,0.33,0.23,0.0,2.51,33.33,12.963,39.11,2.05,1.16,30.25,0.22,3,0.88,0.56,1.54,2.56,41.82
M. Tissera,Huracán,CF,,,28,1700000,24,823,Argentina,Argentina,derecho,173,70,26.67,2.19,0.33,0.37,0.11,1.75,56.25,18.75,23.08,3.17,0.33,11.92,0.08,1,0.0,0.22,0.66,2.52,34.78
N. Leiva,Maccabi Haifa,LW,LWB,,28,1000000,22,1496,Argentina,"Argentina, Spain",derecho,172,70,45.0,3.31,0.12,0.15,0.0,2.17,25.0,5.556,38.04,1.99,1.68,40.37,0.17,2,0.36,0.3,1.44,4.15,44.93
M. López,Kecskeméti TE,CF,,,27,300000,30,2145,Argentina,Argentina,derecho,181,75,32.5,1.68,0.34,0.36,0.04,2.18,40.38,15.385,20.33,3.9,1.01,18.59,0.06,3,0.0,0.21,0.84,1.09,34.62
E. López,Botoşani,CF,,,27,550000,33,1778,Argentina,Argentina,derecho,178,76,27.08,1.21,0.35,0.34,0.05,1.67,39.39,21.212,21.6,2.94,0.91,13.36,0.05,0,0.05,0.2,0.56,1.06,33.33
Franchu,Karmiotissa,LCMF,LW,,26,275000,23,1316,Argentina,"Argentina, Spain",derecho,172,69,16.67,3.08,0.07,0.12,0.0,1.44,23.81,4.762,39.61,2.05,1.91,24.14,0.19,2,0.14,0.27,1.03,4.79,42.86
A. Gaich,Antalyaspor,CF,,,26,1700000,34,1511,Argentina,"Argentina, Italy",derecho,190,94,33.71,1.91,0.48,0.43,0.0,2.03,58.82,23.529,35.06,2.62,1.73,12.57,0.03,0,0.0,0.24,0.36,1.67,39.29
A. Pop,Dinamo Bucureşti,LWF,CF,LW,25,1200000,40,2267,Argentina,"Argentina, Romania",derecho,178,66,44.54,1.71,0.16,0.21,0.0,1.43,38.89,11.111,29.78,2.82,1.03,18.34,0.08,0,0.0,0.2,0.64,1.19,63.33
A. Gómez,Mohammedan,LCMF,AMF,CF,25,250000,21,1923,Argentina,Argentina,izquierdo,170,65,20.0,4.77,0.05,0.17,0.0,3.65,26.92,1.282,46.64,1.5,1.22,37.82,0.11,1,0.23,0.51,1.36,4.63,61.62
Juan Cruz,Leganés,RW,RAMF,LB,25,1500000,39,2857,Argentina,"Argentina, Spain",izquierdo,177,72,36.59,4.22,0.25,0.19,0.0,1.39,47.73,18.182,38.28,1.54,0.79,25.08,0.13,5,0.19,0.35,0.76,4.85,49.35
S. Godoy,Beroe,CF,,,24,300000,31,3024,Argentina,Argentina,derecho,182,69,19.81,2.47,0.51,0.49,0.09,3.48,41.88,14.53,26.1,4.4,1.49,13.13,0.05,0,0.18,0.12,0.6,2.26,36.84
S. Pierotti,Lecce,RW,RAMF,RWF,24,2500000,38,2161,Argentina,"Argentina, Italy",derecho,189,83,41.67,2.04,0.17,0.16,0.04,1.33,25.0,12.5,30.23,2.54,0.58,16.95,0.08,1,0.12,0.37,0.54,2.96,46.48
G. Simeone,Atlético Madrid,RW,,,22,3000000,55,3513,Argentina,"Argentina, Spain",derecho,173,75,35.29,2.61,0.15,0.13,0.03,1.08,40.48,14.286,43.4,4.12,1.64,34.74,0.15,8,0.1,0.61,1.23,3.15,51.22
Y. Guzmán,Tolima,AMF,CF,,26,2600000,35,3178,Colombia,Colombia,derecho,170,61,17.65,2.63,0.37,0.36,0.03,2.49,43.18,14.773,41.04,2.04,1.39,54.91,0.21,7,0.99,0.57,1.9,1.44,50.98
J. Quintero,América de Cali,AMF,CF,RWF,32,2500000,43,3125,Colombia,Colombia,izquierdo,168,70,37.5,3.44,0.23,0.23,0.0,3.24,31.53,7.207,42.5,1.52,0.7,53.5,0.2,7,0.87,0.67,3.15,3.15,50.0
M. Hinestroza,Atlético Nacional,RAMF,RW,,23,2500000,55,4134,Colombia,Colombia,izquierdo,172,73,28.95,4.59,0.13,0.14,0.0,1.65,31.58,7.895,41.18,2.92,1.76,26.67,0.15,11,0.15,0.74,1.33,5.66,52.69
D. Caicedo,Junior,LW,LAMF,,25,2400000,19,731,Colombia,Colombia,derecho,166,65,28.57,2.22,0.0,0.11,0.0,1.72,14.29,0.0,35.71,3.57,1.11,27.46,0.14,1,0.25,0.12,0.86,4.56,35.14
J. Enamorado,Junior,RAMF,RW,,26,2400000,48,2823,Colombia,Colombia,derecho,170,59,14.29,4.43,0.06,0.09,0.0,1.21,28.95,5.263,38.3,2.45,1.75,26.59,0.1,4,0.38,0.51,1.12,5.52,47.4
D. Ruiz,Millonarios,RAMF,RW,AMF,24,2000000,42,2582,Colombia,Colombia,izquierdo,171,69,23.53,3.73,0.14,0.2,0.0,2.75,34.18,5.063,41.52,1.57,1.32,41.93,0.17,4,0.59,0.56,1.5,3.83,43.64
D. Vergara,Racing Club,LAMF,LW,LWF,28,1800000,57,4908,Colombia,Colombia,derecho,177,68,25.0,4.88,0.37,0.29,0.0,2.81,45.75,13.072,44.0,1.87,2.38,29.58,0.15,4,0.37,0.4,1.17,5.37,52.56
F. Batista,Atlético Nacional,CF,,,26,1800000,38,2147,Uruguay,Uruguay,derecho,182,75,37.75,2.14,0.67,0.61,0.08,2.68,54.69,25.0,26.35,4.95,0.92,9.56,0.1,3,0.04,0.29,0.84,1.13,44.44
C. Barrios,América de Cali,RAMF,RW,RWF,27,1400000,49,4029,Colombia,Colombia,derecho,166,65,22.41,2.32,0.11,0.19,0.0,1.23,34.55,9.091,37.92,2.64,2.06,24.64,0.1,6,0.29,0.42,1.7,3.08,47.83
L. Castro,Millonarios,CF,,,33,1200000,31,2392,Colombia,Colombia,derecho,180,80,33.33,2.86,0.53,0.42,0.15,2.3,54.1,22.951,40.0,2.45,1.39,17.53,0.05,0,0.23,0.23,0.6,2.26,60.0
B. Léon,Medellín,CF,,,24,1200000,40,3140,Colombia,Colombia,derecho,175,68,25.98,3.15,0.23,0.36,0.0,2.75,37.5,8.333,34.29,3.61,1.35,16.42,0.09,5,0.26,0.4,1.26,2.67,56.99
J. González,Tolima,RAMF,RW,RWF,23,1200000,43,2256,Colombia,Colombia,derecho,172,67,28.57,3.11,0.16,0.17,0.0,1.24,48.39,12.903,36.33,2.99,1.91,19.91,0.07,3,0.0,0.36,0.64,3.19,56.25
D. Asprilla,Atlético Nacional,RAMF,RW,LAMF,33,1200000,59,3160,Colombia,Colombia,derecho,180,75,49.63,1.88,0.23,0.23,0.03,1.57,36.36,14.545,31.77,2.25,1.22,21.28,0.05,3,0.09,0.28,0.51,2.28,47.5
F. Fydriszewski,Medellín,CF,,,32,1200000,28,1712,Argentina,"Argentina, Poland",ambidiestro,185,83,41.33,1.52,0.26,0.37,0.05,2.37,42.22,11.111,32.63,2.84,1.0,14.46,0.05,1,0.16,0.42,0.79,0.63,58.33
G. Paiva,Junior,CF,AMF,,27,1000000,42,2598,Paraguay,Paraguay,derecho,181,75,42.19,1.56,0.28,0.32,0.1,2.15,32.26,12.903,25.82,3.46,0.87,28.3,0.1,1,0.42,0.59,1.42,1.63,42.55
O. Fernández,Santa Fe,LAMF,LW,CF,32,1000000,38,2914,Colombia,Colombia,izquierdo,165,72,13.33,1.85,0.06,0.11,0.0,1.02,30.3,6.061,37.33,2.04,0.83,30.85,0.13,5,0.15,0.53,1.14,1.76,42.11
Jesus Rivas,Junior,LCMF,LDMF,CF,28,1000000,33,2762,Colombia,Colombia,derecho,175,70,35.09,1.86,0.16,0.11,0.03,1.99,27.87,8.197,36.93,1.6,1.17,35.84,0.05,0,0.23,0.2,0.81,2.02,50.0
A. Piedrahita,Gimnasia La Plata,RAMF,LAMF,RW,22,900000,29,2099,Colombia,Colombia,derecho,177,78,15.38,3.56,0.17,0.13,0.0,1.72,30.0,10.0,37.9,2.74,0.81,28.08,0.09,1,0.3,0.34,0.56,3.56,53.01
E. Batalla,Juventude,RW,LW,LAMF,24,900000,41,2667,Colombia,Colombia,izquierdo,171,72,20.0,4.69,0.27,0.17,0.03,1.82,55.56,14.815,45.62,1.82,1.79,22.04,0.13,2,0.4,0.4,0.47,4.66,51.45
M. García,Medellín,RWB,CF,RWF,26,900000,44,2641,Colombia,Colombia,derecho,180,66,34.92,2.18,0.2,0.24,0.03,1.4,34.15,14.634,42.16,4.29,1.19,26.34,0.14,5,0.14,0.58,1.26,2.01,47.46
F. Salazar,Junior,RWF,RAMF,RW,30,900000,37,3113,Colombia,Colombia,derecho,178,76,40.74,3.73,0.0,0.07,0.0,1.85,32.81,0.0,41.64,1.5,1.94,37.84,0.22,4,0.23,0.46,1.24,2.17,58.67
