Jugador,Equipo,pos1,pos2,pos3,Edad,Valor de mercado (Transfermarkt),Partidos jugados,Minutos jugados,País de nacimiento,Pasaporte,Pie,Altura,Peso,"Duelos aéreos ganados, %",Acciones de ataque exitosas/90,Goles/90,xG/90,Goles de cabeza/90,Remates/90,"Tiros a la portería, %","Goles hechos, %","Duelos atacantes ganados, %",Toques en el área de penalti/90,Faltas recibidas/90,Pases/90,xA/90,Asistencias,Desmarques/90,Jugadas claves/90,Ataque en profundidad/90,Regates/90,"Regates realizados, %"
C. Cañozales,Carabobo,LW,LWF,CF,26,600000,35,2056,Colombia,Colombia,derecho,186,75,34.18,4.86,0.18,0.23,0.04,1.53,45.71,11.429,34.74,2.41,0.79,22.89,0.12,4,0.0,0.39,0.66,6.39,46.58
C. Menacho,Blooming,CF,,,25,600000,40,2622,Bolivia,Bolivia,derecho,183,80,32.71,2.37,0.34,0.45,0.07,2.51,42.47,13.699,27.16,3.43,0.72,15.72,0.06,1,0.1,0.24,0.48,1.89,50.91
B. Miranda,Aucas,CF,,,27,550000,44,2506,Bolivia,Bolivia,derecho,180,79,28.95,2.26,0.43,0.42,0.04,2.66,48.65,16.216,29.56,3.45,0.83,14.94,0.07,2,0.07,0.29,0.79,1.44,45.0
J. Flores,The Strongest,LAMF,CF,LW,21,500000,25,1426,Bolivia,Bolivia,derecho,177,68,25.0,5.05,0.44,0.39,0.06,2.34,48.65,18.919,41.44,3.47,1.89,19.0,0.07,0,0.06,0.13,0.63,5.24,53.01
M. Noble,Gimnasia Jujuy,LW,LCMF,LAMF,28,500000,24,1037,Argentina,Argentina,izquierdo,182,68,45.45,3.99,0.17,0.14,0.09,1.56,44.44,11.111,52.78,1.74,1.39,36.62,0.17,2,0.61,0.17,0.87,2.17,76.0
G. Sotomayor,The Strongest,CF,LAMF,,26,500000,30,1321,Bolivia,Bolivia,derecho,174,61,15.38,3.61,0.61,0.36,0.07,2.86,40.48,21.429,35.97,3.95,1.29,27.05,0.14,5,0.41,0.82,2.32,3.41,50.0
H. Vaca,Oriente Petrolero,RW,RAMF,,27,500000,13,684,Bolivia,Bolivia,izquierdo,165,60,40.0,6.05,0.39,0.19,0.0,2.5,47.37,15.789,40.91,3.82,1.32,28.68,0.23,0,0.66,0.53,2.37,5.53,54.76
J. López Pissano,BG Pathum United,CF,LCMF,,28,500000,32,2359,Argentina,Argentina,izquierdo,180,73,15.0,3.17,0.19,0.09,0.0,2.37,37.1,8.065,35.14,0.61,0.42,28.77,0.11,2,0.42,0.34,0.57,2.29,56.67
H. Sánchez,Guabirá,LW,LCMF,RCMF,28,500000,29,1999,Bolivia,Bolivia,derecho,170,66,46.43,2.66,0.09,0.15,0.0,1.35,30.0,6.667,41.55,1.22,1.71,38.18,0.19,5,0.32,0.36,0.81,3.33,52.7
J. García,The Strongest,LAMF,LW,CF,25,500000,36,2386,Bolivia,Bolivia,izquierdo,170,62,32.61,3.02,0.45,0.29,0.08,2.3,45.9,19.672,41.48,3.81,2.26,24.37,0.15,4,0.3,0.64,0.68,3.13,36.14
V. Ábrego,Nacional Potosí,CF,LAMF,LW,28,450000,36,2204,Bolivia,Bolivia,derecho,176,74,38.98,3.68,0.49,0.46,0.08,3.23,37.97,15.19,36.25,4.57,1.67,19.68,0.11,5,0.33,0.57,0.94,3.88,41.05
L. Chávez,Bolívar,LW,LWF,AMF,22,450000,27,1236,Bolivia,Bolivia,derecho,170,63,23.08,2.04,0.07,0.04,0.0,1.02,35.71,7.143,36.36,1.67,0.87,36.48,0.07,1,0.29,0.29,0.95,2.33,40.63
R. Amaral,Oriente Petrolero,CF,,,28,450000,26,1708,Uruguay,Uruguay,izquierdo,175,85,53.33,2.85,0.21,0.3,0.0,3.53,34.33,5.97,36.36,1.69,1.42,24.66,0.2,4,0.32,0.42,0.9,3.27,41.94
A. Graneros,Alianza Atlético,CF,LW,,29,450000,41,3726,Argentina,Argentina,derecho,180,73,31.58,3.89,0.43,0.46,0.05,3.0,49.59,14.05,33.25,4.49,1.09,13.88,0.17,7,0.2,0.62,0.87,2.8,52.21
J. Bocanegra,Boyacá Chicó,RCMF,LW,RWF,26,450000,10,549,Colombia,Colombia,izquierdo,176,74,0.0,1.8,0.16,0.06,0.0,1.97,25.0,8.333,30.0,1.48,1.97,29.02,0.06,1,0.0,0.16,0.66,2.62,37.5
J. Uzeda,Always Ready,RW,,,22,450000,13,785,Bolivia,Bolivia,izquierdo,172,63,33.33,4.82,0.11,0.18,0.0,1.72,33.33,6.667,49.5,2.98,1.61,29.92,0.15,4,0.23,0.92,2.18,6.08,60.38
J. Martínez,CSKA 1948 Sofia,CF,LW,RW,22,450000,34,2576,Bolivia,Bolivia,derecho,174,69,34.0,2.8,0.31,0.24,0.03,2.66,32.89,11.842,43.86,2.86,1.08,21.7,0.11,3,0.1,0.63,0.94,2.27,53.85
A. Oviedo,Tigre,CF,,,29,400000,37,2119,Paraguay,Paraguay,derecho,181,79,30.69,2.29,0.55,0.45,0.08,2.55,45.0,21.667,28.35,4.37,0.76,12.91,0.14,2,0.13,0.38,1.49,1.78,57.14
N. Acosta,Blooming,CF,LW,LWF,26,400000,14,838,Uruguay,Uruguay,derecho,181,80,42.86,5.26,0.32,0.31,0.0,1.4,30.77,23.077,35.25,5.69,1.4,21.8,0.23,3,0.21,0.86,1.07,6.87,50.0
D. Pérez,Real Tomayapo,CF,LAMF,LW,25,400000,20,1042,Venezuela,Venezuela,derecho,181,73,38.6,2.94,0.0,0.11,0.0,1.38,37.5,0.0,43.28,3.02,1.73,20.21,0.11,2,0.0,0.26,0.78,3.28,60.53
C. Melgar,Bolívar,LWF,LCMF,,30,400000,43,3235,Bolivia,Bolivia,derecho,172,67,28.57,3.26,0.45,0.32,0.06,2.36,40.0,18.824,43.91,3.89,1.86,38.25,0.16,8,0.42,0.64,1.81,1.89,55.88
M. Alaníz,Blooming,RCMF,RW,,32,400000,24,2241,Uruguay,Uruguay,izquierdo,175,67,50.0,3.53,0.16,0.15,0.0,2.21,34.55,7.273,49.19,2.21,2.77,41.16,0.25,8,0.6,0.96,2.21,2.85,59.15
S. Guerrero,The Strongest,CF,LW,,24,400000,22,1289,Uruguay,Uruguay,derecho,172,67,25.0,2.72,0.63,0.44,0.07,2.09,50.0,30.0,34.69,3.35,1.19,21.02,0.09,1,0.07,0.35,0.7,1.82,69.23
